=== TEXT LABELS ===
Text,X,Y,Width,Height,Confidence
Server Website,223,33,95,17,0.942
Plant An App AWS,225,109,145,21,1.0
On-prem hardware,657,111,115,17,1.0
Elasticsearch Serverless,1001,113,175,19,0.723
Front-End,66,168,95,25,1.0
Back-End,250,168,93,25,0.958
docker,599,223,47,15,0.989
Search U,79,237,67,17,1.0
Elastic Language Client,245,231,105,31,1.0
Elastic Connector for MS SQL,605,236,129,34,0.997
Indices,949,237,47,17,1.0
ELSER Model,1115,235,87,19,0.657
VPN,519,265,31,15,1.0
Database,413,305,83,21,0.506
DB,783,349,23,17,1.0

=== BOXES ===
Label,X,Y,Width,Height,Entity Type
Elastic Language Client,216,191,180,118,search
ELSER Model,1082,172,136,122,search
Elasticsearch Serverless,939,89,241,63,platform
Plant An App AWS,152,87,241,63,platform
Server Website,149,9,241,63,platform
Search U,50,192,127,117,search
Indices,903,194,145,101,data_store
docker | Elastic Connector for MS SQL,598,196,141,96,data_store
ELSER Model,1106,198,108,92,search
On-prem hardware,637,87,153,63,component
Elastic Language Client,242,213,108,63,search
,767,268,49,76,component
,419,240,61,60,component
,157,91,54,53,component
Search U,76,230,75,29,search

=== RELATIONSHIPS ===
Source,Target,Line Style,Direction,Relationship,Detected
Search U,Elastic Language Client,dashed,horizontal,connects_to,True
docker | Elastic Connector for MS SQL,Indices,dashed,horizontal,connects_to,True
Indices,ELSER Model,dashed,horizontal,connects_to,True
Server Website,Plant An App - AWS,solid,vertical,hosts,False
Search UI,Elastic Language Client,solid,horizontal,queries,False
Elastic Language Client,Database,solid,vertical,reads_from,False
Database,Elastic Connector for MS SQL,dashed,horizontal,syncs_via_vpn,False
Elastic Connector for MS SQL,DB,dashed,vertical,reads_from,False
Elastic Connector for MS SQL,Indices,dashed,horizontal,indexes_to,False
Elastic Language Client,Elasticsearch Serverless,dashed,horizontal,searches,False
