trial,canny_low,canny_high,min_area,dilate_ksize,dilate_iters,rectangularity_min,dedup_iou,precision,recall,f1,tp,fp,fn
baseline,30,120,1200,3,1,0.3,0.6,0.709,0.938,0.808,61,25,4
10,39,69,2300,2,1,0.6,0.5,1.0,0.985,0.992,64,0,1
11,41,76,2400,2,1,0.6,0.5,1.0,0.985,0.992,64,0,1
14,33,63,2000,2,1,0.55,0.5,1.0,0.985,0.992,64,0,1
21,35,73,2000,2,1,0.55,0.5,1.0,0.985,0.992,64,0,1
22,31,63,1700,2,1,0.55,0.5,1.0,0.985,0.992,64,0,1
23,37,84,2300,2,1,0.6,0.45,1.0,0.985,0.992,64,0,1
24,24,54,2900,2,1,0.55,0.45,1.0,0.985,0.992,64,0,1
31,35,73,1900,2,1,0.55,0.5,1.0,0.985,0.992,64,0,1
32,34,77,2400,2,1,0.55,0.45,1.0,0.985,0.992,64,0,1
33,27,66,1500,2,1,0.6,0.5,1.0,0.985,0.992,64,0,1
12,34,67,2500,2,1,0.6,0.55,0.941,0.985,0.962,64,4,1
13,45,80,2400,2,1,0.6,0.6000000000000001,0.889,0.985,0.934,64,8,1
15,24,122,2700,2,1,0.6,0.6000000000000001,0.889,0.985,0.934,64,8,1
20,53,113,2000,2,1,0.6,0.65,0.877,0.985,0.928,64,9,1
19,24,54,1200,2,1,0.5,0.55,0.865,0.985,0.921,64,10,1
25,32,75,2100,2,1,0.5,0.55,0.865,0.985,0.921,64,10,1
30,38,80,1800,2,1,0.5,0.55,0.865,0.985,0.921,64,10,1
34,40,88,1900,2,1,0.5,0.45,0.909,0.923,0.916,60,6,5
3,40,95,800,2,1,0.5,0.45,0.896,0.923,0.909,60,7,5
27,42,89,1400,3,1,0.6,0.5,0.871,0.938,0.904,61,9,4
17,38,145,2100,2,1,0.30000000000000004,0.45,0.882,0.923,0.902,60,8,5
39,41,105,3300,3,1,0.55,0.35,0.859,0.938,0.897,61,10,4
18,43,85,2800,5,1,0.55,0.55,0.87,0.923,0.896,60,9,5
0,29,213,3100,1,2,0.45,0.6000000000000001,1.0,0.785,0.879,51,0,14
4,16,132,700,1,2,0.4,0.35,1.0,0.785,0.879,51,0,14
7,49,107,600,1,1,0.35000000000000003,0.35,1.0,0.785,0.879,51,0,14
28,28,147,2200,1,1,0.55,0.5,1.0,0.785,0.879,51,0,14
38,20,50,2200,1,2,0.6,0.45,1.0,0.785,0.879,51,0,14
29,51,96,3100,1,2,0.45,0.65,0.981,0.785,0.872,51,1,14
26,46,99,2600,5,1,0.45,0.4,0.803,0.938,0.865,61,15,4
37,31,67,3000,2,1,0.25,0.6000000000000001,0.771,0.985,0.865,64,19,1
16,48,121,1300,2,1,0.5,0.7,0.753,0.985,0.853,64,21,1
5,59,191,3800,3,1,0.2,0.4,0.744,0.938,0.83,61,21,4
6,29,102,3500,3,2,0.2,0.7,0.735,0.938,0.824,61,22,4
36,44,92,1100,3,1,0.45,0.4,0.735,0.938,0.824,61,22,4
9,16,170,3200,2,1,0.2,0.3,0.778,0.862,0.818,56,16,9
2,41,91,1600,3,2,0.45,0.3,0.701,0.938,0.803,61,26,4
1,11,215,3500,5,2,0.35000000000000003,0.4,0.625,0.846,0.719,55,33,10
8,54,169,1700,5,2,0.55,0.5,0.625,0.846,0.719,55,33,10
35,37,205,900,5,2,0.4,0.55,0.505,0.846,0.632,55,54,10
