diagram,schema_valid,all_data_driven,texts,boxes,regions,arrows,icons,relationships,runtime_seconds,stage_errors
diagram_01.png,True,True,4,3,0,13,0,0,7.426,
diagram_02.png,True,True,6,8,0,30,0,1,2.597,
diagram_03.png,True,True,6,7,1,23,0,2,2.367,
diagram_04.png,True,True,4,4,1,9,0,1,2.036,
diagram_05.png,True,True,5,6,0,18,0,1,2.103,
diagram_06.png,True,True,5,8,0,13,0,1,2.024,
diagram_07.png,True,True,4,4,1,6,0,1,1.658,
diagram_08.png,True,True,3,3,2,6,0,1,1.607,
diagram_09.png,True,True,4,6,1,8,0,1,1.73,
diagram_10.png,True,True,5,6,0,20,0,2,2.069,
diagram_11.png,True,True,5,7,0,26,0,0,2.206,
diagram_12.png,True,True,4,4,1,14,0,3,1.91,
diagram_13.png,True,True,5,5,0,22,0,4,2.262,
diagram_14.png,True,True,5,8,0,17,0,0,2.292,
search_interview_test.png,True,True,18,15,4,73,2,2,2.206,
