stage,detector,diagram,detected,gt,tp,fp,fn,precision,recall,f1,per_char_accuracy,runtime_seconds,fp_rate
text,easyocr,diagram_01.png,4,4,4,0,0,1.0,1.0,1.0,0.945,1.855,
text,easyocr,diagram_02.png,6,6,6,0,0,1.0,1.0,1.0,1.0,2.437,
text,easyocr,diagram_03.png,6,6,6,0,0,1.0,1.0,1.0,0.921,2.126,
text,easyocr,diagram_04.png,4,4,4,0,0,1.0,1.0,1.0,0.812,1.852,
text,easyocr,diagram_05.png,5,5,5,0,0,1.0,1.0,1.0,1.0,1.969,
text,easyocr,diagram_06.png,5,5,5,0,0,1.0,1.0,1.0,1.0,1.888,
text,easyocr,diagram_07.png,4,4,4,0,0,1.0,1.0,1.0,1.0,1.651,
text,easyocr,diagram_08.png,3,3,3,0,0,1.0,1.0,1.0,0.958,1.47,
text,easyocr,diagram_09.png,4,4,4,0,0,1.0,1.0,1.0,0.911,1.529,
text,easyocr,diagram_10.png,5,5,5,0,0,1.0,1.0,1.0,0.98,1.933,
text,easyocr,diagram_11.png,5,5,5,0,0,1.0,1.0,1.0,1.0,1.989,
text,easyocr,diagram_12.png,4,4,4,0,0,1.0,1.0,1.0,0.931,1.73,
text,easyocr,diagram_13.png,5,5,5,0,0,1.0,1.0,1.0,1.0,1.941,
text,easyocr,diagram_14.png,5,5,5,0,0,1.0,1.0,1.0,1.0,1.956,
text,easyocr,search_interview_test.png,18,10,10,8,0,0.556,1.0,0.714,0.942,2.175,
text,paddleocr,diagram_01.png,4,4,4,0,0,1.0,1.0,1.0,0.972,0.926,
text,paddleocr,diagram_02.png,6,6,6,0,0,1.0,1.0,1.0,0.992,0.865,
text,paddleocr,diagram_03.png,5,6,5,0,1,1.0,0.833,0.909,0.989,0.796,
text,paddleocr,diagram_04.png,3,4,3,0,1,1.0,0.75,0.857,0.902,0.762,
text,paddleocr,diagram_05.png,5,5,5,0,0,1.0,1.0,1.0,1.0,0.322,
text,paddleocr,diagram_06.png,5,5,5,0,0,1.0,1.0,1.0,1.0,0.82,
text,paddleocr,diagram_07.png,4,4,4,0,0,1.0,1.0,1.0,1.0,0.771,
text,paddleocr,diagram_08.png,3,3,3,0,0,1.0,1.0,1.0,1.0,0.303,
text,paddleocr,diagram_09.png,4,4,4,0,0,1.0,1.0,1.0,0.939,0.765,
text,paddleocr,diagram_10.png,5,5,5,0,0,1.0,1.0,1.0,1.0,0.466,
text,paddleocr,diagram_11.png,5,5,5,0,0,1.0,1.0,1.0,0.99,0.329,
text,paddleocr,diagram_12.png,4,4,4,0,0,1.0,1.0,1.0,0.954,0.796,
text,paddleocr,diagram_13.png,5,5,5,0,0,1.0,1.0,1.0,0.95,0.377,
text,paddleocr,diagram_14.png,5,5,5,0,0,1.0,1.0,1.0,1.0,0.305,
text,paddleocr,search_interview_test.png,17,10,10,7,0,0.588,1.0,0.741,0.968,1.448,
box,canny_contours,diagram_01.png,3,4,3,0,1,1.0,0.75,0.857,,0.004,0.0
box,canny_contours,diagram_02.png,8,6,6,2,0,0.75,1.0,0.857,,0.003,0.25
box,canny_contours,diagram_03.png,8,6,6,2,0,0.75,1.0,0.857,,0.003,0.25
box,canny_contours,diagram_04.png,5,4,4,1,0,0.8,1.0,0.889,,0.002,0.2
box,canny_contours,diagram_05.png,6,5,5,1,0,0.833,1.0,0.909,,0.002,0.167
box,canny_contours,diagram_06.png,8,5,5,3,0,0.625,1.0,0.769,,0.002,0.375
box,canny_contours,diagram_07.png,5,4,4,1,0,0.8,1.0,0.889,,0.002,0.2
box,canny_contours,diagram_08.png,5,3,3,2,0,0.6,1.0,0.75,,0.002,0.4
box,canny_contours,diagram_09.png,7,4,2,5,2,0.286,0.5,0.364,,0.003,0.714
box,canny_contours,diagram_10.png,6,5,5,1,0,0.833,1.0,0.909,,0.003,0.167
box,canny_contours,diagram_11.png,7,5,4,3,1,0.571,0.8,0.667,,0.003,0.429
box,canny_contours,diagram_12.png,5,4,4,1,0,0.8,1.0,0.889,,0.002,0.2
box,canny_contours,diagram_13.png,5,5,5,0,0,1.0,1.0,1.0,,0.003,0.0
box,canny_contours,diagram_14.png,8,5,5,3,0,0.625,1.0,0.769,,0.002,0.375
box,hough_rectangles,diagram_01.png,8,4,2,6,2,0.25,0.5,0.333,,0.007,0.75
box,hough_rectangles,diagram_02.png,32,6,4,28,2,0.125,0.667,0.211,,0.012,0.875
box,hough_rectangles,diagram_03.png,13,6,5,8,1,0.385,0.833,0.526,,0.014,0.615
box,hough_rectangles,diagram_04.png,20,4,4,16,0,0.2,1.0,0.333,,0.012,0.8
box,hough_rectangles,diagram_05.png,10,5,2,8,3,0.2,0.4,0.267,,0.009,0.8
box,hough_rectangles,diagram_06.png,17,5,3,14,2,0.176,0.6,0.273,,0.009,0.824
box,hough_rectangles,diagram_07.png,7,4,4,3,0,0.571,1.0,0.727,,0.007,0.429
box,hough_rectangles,diagram_08.png,7,3,3,4,0,0.429,1.0,0.6,,0.007,0.571
box,hough_rectangles,diagram_09.png,23,4,4,19,0,0.174,1.0,0.296,,0.008,0.826
box,hough_rectangles,diagram_10.png,17,5,4,13,1,0.235,0.8,0.364,,0.014,0.765
box,hough_rectangles,diagram_11.png,27,5,3,24,2,0.111,0.6,0.188,,0.012,0.889
box,hough_rectangles,diagram_12.png,17,4,4,13,0,0.235,1.0,0.381,,0.009,0.765
box,hough_rectangles,diagram_13.png,7,5,1,6,4,0.143,0.2,0.167,,0.008,0.857
box,hough_rectangles,diagram_14.png,5,5,1,4,4,0.2,0.2,0.2,,0.009,0.8
box,yolov8_zero_shot,diagram_01.png,0,4,0,0,4,0.0,0.0,0.0,,0.327,0.0
box,yolov8_zero_shot,diagram_02.png,0,6,0,0,6,0.0,0.0,0.0,,0.101,0.0
box,yolov8_zero_shot,diagram_03.png,0,6,0,0,6,0.0,0.0,0.0,,0.097,0.0
box,yolov8_zero_shot,diagram_04.png,0,4,0,0,4,0.0,0.0,0.0,,0.094,0.0
box,yolov8_zero_shot,diagram_05.png,0,5,0,0,5,0.0,0.0,0.0,,0.113,0.0
box,yolov8_zero_shot,diagram_06.png,1,5,1,0,4,1.0,0.2,0.333,,0.084,0.0
box,yolov8_zero_shot,diagram_07.png,0,4,0,0,4,0.0,0.0,0.0,,0.119,0.0
box,yolov8_zero_shot,diagram_08.png,1,3,0,1,3,0.0,0.0,0.0,,0.085,1.0
box,yolov8_zero_shot,diagram_09.png,0,4,0,0,4,0.0,0.0,0.0,,0.102,0.0
box,yolov8_zero_shot,diagram_10.png,0,5,0,0,5,0.0,0.0,0.0,,0.104,0.0
box,yolov8_zero_shot,diagram_11.png,0,5,0,0,5,0.0,0.0,0.0,,0.096,0.0
box,yolov8_zero_shot,diagram_12.png,0,4,0,0,4,0.0,0.0,0.0,,0.114,0.0
box,yolov8_zero_shot,diagram_13.png,0,5,0,0,5,0.0,0.0,0.0,,0.089,0.0
box,yolov8_zero_shot,diagram_14.png,0,5,0,0,5,0.0,0.0,0.0,,0.097,0.0
