stage,detector,diagram,detected,gt,tp,fp,fn,precision,recall,f1,runtime_seconds,note,by_label_p,by_label_r,by_label_f1,presence_p,presence_r,presence_f1
arrow,pixel_scan,diagram_01.png,4,3,2,2,1,0.5,0.667,0.571,0.137,,,,,,,
arrow,pixel_scan,diagram_02.png,1,5,1,0,4,1.0,0.2,0.333,0.183,,,,,,,
arrow,pixel_scan,diagram_03.png,1,5,1,0,4,1.0,0.2,0.333,0.165,,,,,,,
arrow,pixel_scan,diagram_04.png,4,3,2,2,1,0.5,0.667,0.571,0.166,,,,,,,
arrow,pixel_scan,diagram_05.png,1,4,1,0,3,1.0,0.25,0.4,0.172,,,,,,,
arrow,pixel_scan,diagram_06.png,0,4,0,0,4,0.0,0.0,0.0,0.151,,,,,,,
arrow,pixel_scan,diagram_07.png,0,3,0,0,3,0.0,0.0,0.0,0.134,,,,,,,
arrow,pixel_scan,diagram_08.png,2,3,1,1,2,0.5,0.333,0.4,0.14,,,,,,,
arrow,pixel_scan,diagram_09.png,4,3,2,2,1,0.5,0.667,0.571,0.132,,,,,,,
arrow,pixel_scan,diagram_10.png,3,4,1,2,3,0.333,0.25,0.286,0.168,,,,,,,
arrow,pixel_scan,diagram_11.png,0,4,0,0,4,0.0,0.0,0.0,0.188,,,,,,,
arrow,pixel_scan,diagram_12.png,2,3,1,1,2,0.5,0.333,0.4,0.146,,,,,,,
arrow,pixel_scan,diagram_13.png,0,4,0,0,4,0.0,0.0,0.0,0.164,,,,,,,
arrow,pixel_scan,diagram_14.png,0,4,0,0,4,0.0,0.0,0.0,0.167,,,,,,,
arrow,pixel_scan,search_interview_test.png,59,,,,,,,,0.098,no GT boxes (search_interview_test.png),,,,,,
arrow,hough_lines,diagram_01.png,2,3,0,2,3,0.0,0.0,0.0,0.021,,,,,,,
arrow,hough_lines,diagram_02.png,5,5,3,2,2,0.6,0.6,0.6,0.027,,,,,,,
arrow,hough_lines,diagram_03.png,4,5,1,3,4,0.25,0.2,0.222,0.025,,,,,,,
arrow,hough_lines,diagram_04.png,3,3,0,3,3,0.0,0.0,0.0,0.02,,,,,,,
arrow,hough_lines,diagram_05.png,2,4,2,0,2,1.0,0.5,0.667,0.016,,,,,,,
arrow,hough_lines,diagram_06.png,4,4,2,2,2,0.5,0.5,0.5,0.018,,,,,,,
arrow,hough_lines,diagram_07.png,1,3,1,0,2,1.0,0.333,0.5,0.014,,,,,,,
arrow,hough_lines,diagram_08.png,1,3,1,0,2,1.0,0.333,0.5,0.015,,,,,,,
arrow,hough_lines,diagram_09.png,2,3,0,2,3,0.0,0.0,0.0,0.013,,,,,,,
arrow,hough_lines,diagram_10.png,3,4,2,1,2,0.667,0.5,0.571,0.018,,,,,,,
arrow,hough_lines,diagram_11.png,6,4,1,5,3,0.167,0.25,0.2,0.02,,,,,,,
