config,precision,recall,f1,tp,fp,fn
A_baseline,0.333,0.115,0.171,6,12,46
B_region_fix,0.45,0.173,0.25,9,11,43
C_mapper_fix,0.45,0.173,0.25,9,11,43

--- per diagram ---
config,diagram,detected,tp,fp,fn,precision,recall,f1
A_baseline,diagram_01.png,0,0,0,3,0.0,0.0,0.0
A_baseline,diagram_02.png,1,0,1,5,0.0,0.0,0.0
A_baseline,diagram_03.png,0,0,0,5,0.0,0.0,0.0
A_baseline,diagram_04.png,1,0,1,3,0.0,0.0,0.0
A_baseline,diagram_05.png,1,1,0,3,1.0,0.25,0.4
A_baseline,diagram_06.png,2,1,1,3,0.5,0.25,0.333
A_baseline,diagram_07.png,1,0,1,3,0.0,0.0,0.0
A_baseline,diagram_08.png,1,1,0,2,1.0,0.333,0.5
A_baseline,diagram_09.png,0,0,0,3,0.0,0.0,0.0
A_baseline,diagram_10.png,2,0,2,4,0.0,0.0,0.0
A_baseline,diagram_11.png,2,1,1,3,0.5,0.25,0.333
A_baseline,diagram_12.png,2,0,2,3,0.0,0.0,0.0
A_baseline,diagram_13.png,4,2,2,2,0.5,0.5,0.5
A_baseline,diagram_14.png,1,0,1,4,0.0,0.0,0.0
B_region_fix,diagram_01.png,0,0,0,3,0.0,0.0,0.0
B_region_fix,diagram_02.png,1,1,0,4,1.0,0.2,0.333
B_region_fix,diagram_03.png,2,0,2,5,0.0,0.0,0.0
B_region_fix,diagram_04.png,1,0,1,3,0.0,0.0,0.0
B_region_fix,diagram_05.png,2,2,0,2,1.0,0.5,0.667
B_region_fix,diagram_06.png,3,2,1,2,0.667,0.5,0.571
B_region_fix,diagram_07.png,0,0,0,3,0.0,0.0,0.0
B_region_fix,diagram_08.png,1,1,0,2,1.0,0.333,0.5
B_region_fix,diagram_09.png,0,0,0,3,0.0,0.0,0.0
B_region_fix,diagram_10.png,1,1,0,3,1.0,0.25,0.4
B_region_fix,diagram_11.png,1,0,1,4,0.0,0.0,0.0
B_region_fix,diagram_12.png,2,0,2,3,0.0,0.0,0.0
B_region_fix,diagram_13.png,4,2,2,2,0.5,0.5,0.5
B_region_fix,diagram_14.png,2,0,2,4,0.0,0.0,0.0
C_mapper_fix,diagram_01.png,0,0,0,3,0.0,0.0,0.0
C_mapper_fix,diagram_02.png,1,1,0,4,1.0,0.2,0.333
C_mapper_fix,diagram_03.png,2,0,2,5,0.0,0.0,0.0
C_mapper_fix,diagram_04.png,1,0,1,3,0.0,0.0,0.0
C_mapper_fix,diagram_05.png,2,2,0,2,1.0,0.5,0.667
C_mapper_fix,diagram_06.png,3,2,1,2,0.667,0.5,0.571
C_mapper_fix,diagram_07.png,0,0,0,3,0.0,0.0,0.0
C_mapper_fix,diagram_08.png,1,1,0,2,1.0,0.333,0.5
C_mapper_fix,diagram_09.png,0,0,0,3,0.0,0.0,0.0
C_mapper_fix,diagram_10.png,1,1,0,3,1.0,0.25,0.4
C_mapper_fix,diagram_11.png,1,0,1,4,0.0,0.0,0.0
C_mapper_fix,diagram_12.png,2,0,2,3,0.0,0.0,0.0
C_mapper_fix,diagram_13.png,4,2,2,2,0.5,0.5,0.5
C_mapper_fix,diagram_14.png,2,0,2,4,0.0,0.0,0.0
